symbol,expiration,strike,right,lot,dte,undId,undPrice,lo52,hi52,Fall,Rise,Std,loStd,hiStd,optId,optPrice,margin,rom,remqty,expPrice,expRom,qty
INFRATEL,20190530,205.0,P,2000,16,119707173,265.45,242.65,392.8,63.5,73.39999999999998,21.89141390364312,221.66717219271374,331.12424171092937,355584419,3.2,97607.61999999918,1.4957848577805832,2,3.25,1.519156496183405,1
IOC,20190530,95.0,P,3500,16,56985747,142.6,105.25,213.7,54.900000000000006,36.099999999999994,5.435229985934361,131.72954002813128,158.90568995780308,355569834,0.4,92762.50999999978,0.3442931848221882,3,1.15,0.9898429063637908,1
IRB,20190530,80.0,P,3200,16,56985795,107.05,105.6,286.05,62.70000000000002,68.19999999999999,12.925460469347762,81.19907906130447,145.8263814080433,355588779,0.5,62661.13999999873,0.5824981798926853,2,0.85,0.990246905817565,1
JINDALSTE,20190627,115.0,P,2250,44,56984268,154.35,123.3,294.1,95.35,136.3,17.96649788417938,118.41700423164124,208.24949365253815,359248073,0.75,65898.25999999978,0.21242714975258215,4,3.55,1.005488508828889,1
JINDALSTE,20190627,110.0,P,2250,44,56984268,154.35,123.3,294.1,95.35,136.3,17.96649788417938,118.41700423164124,208.24949365253815,359248067,0.45,65898.25999999978,0.12745628985154928,4,3.55,1.005488508828889,1
JINDALSTE,20190530,105.0,P,2250,16,56984268,154.35,123.3,294.1,81.94999999999999,111.55000000000001,9.039297426193242,136.2714051476135,181.4678922785797,359247610,0.2,65898.25999999978,0.15577990981856024,4,1.3,1.0125694138206416,1
JISLJALEQ,20190530,37.5,P,9000,16,80423707,47.25,46.45,150.4,46.05000000000001,34.5,4.477975078366242,38.294049843267516,60.68392523509873,359248362,0.1,168150.59999999963,0.12210036717085782,2,0.8,0.9768029373668625,1
JISLJALEQ,20190530,35.0,P,9000,16,80423707,47.25,46.45,150.4,46.05000000000001,34.5,4.477975078366242,38.294049843267516,60.68392523509873,359248352,0.05,168150.59999999963,0.06105018358542891,2,0.8,0.9768029373668625,1
JSWSTEEL,20190627,230.0,P,1500,44,261024709,276.9,237.6,427.55,127.94999999999999,133.90000000000003,21.07966440653636,234.74067118692727,340.13899321960906,359176170,1.5,76691.34999999963,0.24337520107903718,2,6.15,0.9978383244240525,1
JSWSTEEL,20190627,225.0,P,1500,44,261024709,276.9,237.6,427.55,127.94999999999999,133.90000000000003,21.07966440653636,234.74067118692727,340.13899321960906,359176160,1.1,76691.34999999963,0.17847514745796064,2,6.15,0.9978383244240525,1
JSWSTEEL,20190530,235.0,P,1500,16,261024709,276.9,237.6,427.55,72.69999999999999,85.05000000000001,11.031178540845024,254.83764291830994,309.99353562253503,355570106,0.3,76691.34999999963,0.13385636059347045,2,2.25,1.0039227044510284,1
KOTAKBANK,20190530,980.0,P,400,16,78743661,1389.35,992.5,1435.5,205.54999999999995,212.79999999999995,53.872812052762,1281.6043758944759,1550.9684361582858,355581529,0.4,101389.04999999888,0.03599994279461184,2,11.1,0.9989984125504787,2
KOTAKBANK,20190530,960.0,P,400,16,78743661,1389.35,992.5,1435.5,205.54999999999995,212.79999999999995,53.872812052762,1281.6043758944759,1550.9684361582858,355581523,0.3,101389.04999999888,0.026999957095958885,2,11.1,0.9989984125504787,2
KSCL,20190530,370.0,P,1500,16,143038370,443.2,374.05,660.7,249.84999999999997,117.74999999999994,19.50089404890448,404.198211902191,501.7026821467134,359221633,1.5,739156.5099999998,0.06944148405051592,2,21.6,0.9999573703274295,1
KSCL,20190530,350.0,P,1500,16,143038370,443.2,374.05,660.7,249.84999999999997,117.74999999999994,19.50089404890448,404.198211902191,501.7026821467134,359221627,1.1,739156.5099999998,0.05092375497037835,2,21.6,0.9999573703274295,1
KSCL,20190530,340.0,P,1500,16,143038370,443.2,374.05,660.7,249.84999999999997,117.74999999999994,19.50089404890448,404.198211902191,501.7026821467134,355581864,0.7,739156.5099999998,0.03240602589024077,2,21.6,0.9999573703274295,1
KTKBANK,20190627,92.5,P,4700,44,56984959,118.1,92.65,169.25,60.95,32.54999999999998,10.35987720897907,97.38024558204185,149.1796316269372,359190275,0.25,99635.26999999955,0.09782840043399425,2,2.55,0.9978496844267414,1
KTKBANK,20190627,90.0,P,4700,44,56984959,118.1,92.65,169.25,60.95,32.54999999999998,10.35987720897907,97.38024558204185,149.1796316269372,359190264,0.15,99635.26999999955,0.05869704026039656,2,2.55,0.9978496844267414,1
KTKBANK,20190530,92.5,P,4700,16,56984959,118.1,92.65,169.25,39.650000000000006,25.599999999999994,6.356470893681667,105.38705821263666,137.169412681045,355564353,0.05,99635.26999999955,0.053805620238696845,2,0.95,1.0223067845352398,1
