right,symbol,strike,dte,undPrice,pop,rom,price,expPrice,margin,lot,option
C,IFCI,16,24,13.6,0.996875614762393,0.863442462866835,0.2,0.5,85124.375,105000,"Option(conId=343994895, symbol='IFCI', lastTradeDateOrContractMonth='20190228', strike=16.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='IFCI19FEB16CE', tradingClass='IFCI')"
C,INDIACEM,95,24,84.25,0.915665595907188,0.848597731104557,1.3,2.5,72384.12,13500,"Option(conId=344234231, symbol='INDIACEM', lastTradeDateOrContractMonth='20190228', strike=95.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='INDIACEM19FEB95CE', tradingClass='INDIACEM')"
C,JISLJALEQ,75,24,61,0.990920369642723,0.890547077130751,0.95,1.25,100808.82,27000,"Option(conId=343981517, symbol='JISLJALEQ', lastTradeDateOrContractMonth='20190228', strike=75.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='JISLJALEQS19FEB75CE', tradingClass='JISLJALEQS')"
C,MRPL,75,24,67.85,0.995232565090186,0.823163346182521,1,1.45,89289.69,21000,"Option(conId=343964043, symbol='MRPL', lastTradeDateOrContractMonth='20190228', strike=75.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='MRPL19FEB75CE', tradingClass='MRPL')"
C,NBCC,67,24,58.7,0.959023505385121,0.840869271967376,0.9,1.25,89906.96,24000,"Option(conId=347840611, symbol='NBCC', lastTradeDateOrContractMonth='20190228', strike=67.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='NBCC19FEB67CE', tradingClass='NBCC')"
C,NCC,92.5,24,79.55,0.981991830168165,1.24311498848465,1.7,1.85,114872.72,24000,"Option(conId=343982574, symbol='NCC', lastTradeDateOrContractMonth='20190228', strike=92.5, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='NCC19FEB92.5CE', tradingClass='NCC')"
C,NCC,95,24,79.55,0.993477190270431,0.877492933047986,1.2,1.45,114872.72,24000,"Option(conId=343982581, symbol='NCC', lastTradeDateOrContractMonth='20190228', strike=95.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='NCC19FEB95CE', tradingClass='NCC')"
C,ORIENTBAN,110,24,95.7,0.972364701400012,0.92310694941286,1.5,1.7,119433.615,21000,"Option(conId=343983551, symbol='ORIENTBAN', lastTradeDateOrContractMonth='20190228', strike=110.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ORIENTBANK19FEB110CE', tradingClass='ORIENTBANK')"
C,PNB,85,24,73.9,0.948992542221042,0.874746767149655,1.15,1.5,96627.965,21000,"Option(conId=343993125, symbol='PNB', lastTradeDateOrContractMonth='20190228', strike=85.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='PNB19FEB85CE', tradingClass='PNB')"
C,TITAN,1060,24,991.55,0.917153807177424,1.07749007695541,18.2,18.3,133017.4663,2250,"Option(conId=343993734, symbol='TITAN', lastTradeDateOrContractMonth='20190228', strike=1060.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='TITAN19FEB1060CE', tradingClass='TITAN')"
C,TITAN,1080,24,991.55,0.964646024729224,0.819958108012767,13.85,13.95,133017.4663,2250,"Option(conId=343993740, symbol='TITAN', lastTradeDateOrContractMonth='20190228', strike=1080.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='TITAN19FEB1080CE', tradingClass='TITAN')"
C,UBL,1580,24,1447.15,0.904736941257326,0.820854666257267,19.9,20,178186.232,2100,"Option(conId=343969426, symbol='UBL', lastTradeDateOrContractMonth='20190228', strike=1580.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='UBL19FEB1580CE', tradingClass='UBL')"
C,VEDL,220,52,162.15,0.906506732425313,1.20588972950553,8.75,8.95,80877.085,6900,"Option(conId=347842091, symbol='VEDL', lastTradeDateOrContractMonth='20190328', strike=220.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='VEDL19MAR220CE', tradingClass='VEDL')"
C,VEDL,225,52,162.15,0.923268682886373,1.09563695423646,7.95,8.15,80877.085,6900,"Option(conId=347842096, symbol='VEDL', lastTradeDateOrContractMonth='20190328', strike=225.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='VEDL19MAR225CE', tradingClass='VEDL')"
C,VEDL,230,52,162.15,0.937349355956213,0.999165775876014,7.25,7.4,80877.085,6900,"Option(conId=347842106, symbol='VEDL', lastTradeDateOrContractMonth='20190328', strike=230.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='VEDL19MAR230CE', tradingClass='VEDL')"
C,VEDL,235,52,162.15,0.949092538920805,0.909585395969889,6.6,6.7,80877.085,6900,"Option(conId=347842114, symbol='VEDL', lastTradeDateOrContractMonth='20190328', strike=235.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='VEDL19MAR235CE', tradingClass='VEDL')"
C,VEDL,240,52,162.15,0.958821036775114,0.826895814518081,6,6.1,80877.085,6900,"Option(conId=347842120, symbol='VEDL', lastTradeDateOrContractMonth='20190328', strike=240.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='VEDL19MAR240CE', tradingClass='VEDL')"
