symbol,expiration,strike,right,dte,margin,undPrice,lot,undId,lo52,hi52,Fall,Rise,Std,loStd,hiStd,optId,optPrice,optMargin,rom,remqty,expPrice,expRom,qty
FDX,20190524,149.0,P,9,1119,172.35,100,5100583,150.94,274.66,54.94999999999999,25.76000000000002,8.21862369336999,155.91275261326,197.00587108010996,365646476,0.19,190.01999999998955,4.0551286999031575,2,0.24,5.122267831456619,1
GD,20190621,140.0,P,37,1091,169.46,100,7496,143.87,230.0,43.599999999999994,33.849999999999994,6.63180857685145,156.1963828462971,189.35542573055437,316654590,0.45,184.8000000000029,2.4021586521586142,2,0.5,2.669065169065127,1
GD,20190621,135.0,P,37,1091,169.46,100,7496,143.87,230.0,43.599999999999994,33.849999999999994,6.63180857685145,156.1963828462971,189.35542573055437,316654577,0.3,151.83000000000175,1.9491928205620925,2,0.35,2.2740582906557747,1
GD,20190614,140.0,P,30,1091,169.46,100,7496,143.87,230.0,43.599999999999994,33.849999999999994,4.619482474621315,160.22103505075737,183.31844742386394,365393909,0.25,179.1100000000006,1.6982115273667893,2,0.3,2.037853832840147,1
GM,20190621,30.0,P,37,237,37.13,100,80986742,30.56,45.52,9.060000000000002,9.719999999999999,2.0319616063847437,33.066076787230514,43.22588481915423,338325754,0.14,41.979999999995925,3.2898548858532997,13,0.19,4.4648030593723345,1
GM,20190621,29.0,P,37,237,37.13,100,80986742,30.56,45.52,9.060000000000002,9.719999999999999,2.0319616063847437,33.066076787230514,43.22588481915423,338325744,0.1,35.129999999990105,2.8081027227064173,13,0.15000000000000002,4.212154084059627,1
GM,20190621,28.0,P,37,237,37.13,100,80986742,30.56,45.52,9.060000000000002,9.719999999999999,2.0319616063847437,33.066076787230514,43.22588481915423,338325739,0.08,29.50999999999476,2.674311044355572,13,0.13,4.345755447077804,13
GOOG,20190628,970.0,P,44,16797,1122.19,100,208813720,970.11,1289.27,257.81000000000006,218.67000000000007,71.65764290107231,978.8747141978554,1337.162928703217,365650175,3.75,1430.1100000000006,2.175214112582566,1,3.8,2.204216967417,1
GOOG,20190621,970.0,P,37,16797,1122.19,100,208813720,970.11,1289.27,214.13,198.61000000000013,70.96048623874886,980.2690275225024,1335.0714587162465,278905673,3.0,1366.8099999999977,2.1652310558596035,1,3.05,2.20131824012393,1
GOOG,20190614,970.0,P,30,16797,1122.19,100,208813720,970.11,1289.27,214.13,194.33000000000015,58.5202644683399,1005.1494710633202,1297.7507934050197,364442768,2.4,1318.9899999999907,2.2138151161115855,1,2.4499999999999997,2.2599362643639105,1
GS,20190628,150.0,P,44,1267,196.60500000000002,100,4627828,151.7,275.31,82.36000000000001,51.59,14.128282094285947,168.34843581142812,238.98984628285785,365806231,0.39,155.40999999998894,2.081736871969309,2,0.44,2.3486262145294767,1
GS,20190621,150.0,P,37,1267,196.60500000000002,100,4627828,151.7,275.31,82.36000000000001,51.59,12.513703988713594,171.57759202257284,234.1461119661408,289985256,0.32,152.27999999999884,2.072994980796415,2,0.37,2.3969004465458554,1
GS,20190621,145.0,P,37,1267,196.60500000000002,100,4627828,151.7,275.31,82.36000000000001,51.59,12.513703988713594,171.57759202257284,234.1461119661408,289985255,0.24,128.58999999999648,1.841175493870155,2,0.29,2.2247537217597704,1
HD,20190621,155.0,P,37,1237,191.75,100,7930,158.09,215.43,44.52000000000001,34.53,11.478008067795972,168.79398386440806,226.18402420338793,315161096,0.38,180.92999999999302,2.0718778802016216,2,0.43,2.3444933907544665,1
HD,20190621,150.0,P,37,1237,191.75,100,7930,158.09,215.43,44.52000000000001,34.53,11.478008067795972,168.79398386440806,226.18402420338793,315161095,0.26,152.61999999999534,1.6805561950366552,2,0.31,2.0037400786975508,1
HON,20190621,120.0,P,37,1084,168.2,100,4350,123.48,174.34,28.11999999999999,30.269999999999996,12.876660083843149,142.4466798323137,206.82998025152943,340007629,0.04,82.36999999999534,0.47905134708585273,2,0.09,1.0778655309431686,2
IBM,20190628,105.0,P,44,854,133.65,100,8314,105.94,171.13,40.27000000000001,34.55000000000001,10.073154565507123,113.50369086898576,163.86946369652136,365653336,0.12,112.52999999999884,0.8846125881583184,3,0.16999999999999998,1.2532011665576177,1
IBM,20190621,105.0,P,37,854,133.65,100,8314,105.94,171.13,40.27000000000001,32.75999999999999,9.876886331395426,113.89622733720915,163.2806589941863,315917656,0.16,108.94999999999708,1.448718107736045,3,0.21000000000000002,1.901442516403559,1
IBM,20190621,100.0,P,37,854,133.65,100,8314,105.94,171.13,40.27000000000001,32.75999999999999,9.876886331395426,113.89622733720915,163.2806589941863,315917655,0.07,84.70999999999185,0.8151818445763276,3,0.12000000000000001,1.397454590702276,1
INTC,20190628,35.0,P,44,290,45.235,100,270639,42.04,59.59,14.89,11.740000000000002,4.763213259346743,35.708573481306516,59.524639778040225,365648206,0.12,39.91999999999826,2.4936236108581884,11,0.16999999999999998,3.532633448715767,1
INTC,20190621,35.0,P,37,290,45.235,100,270639,42.04,59.59,14.89,11.740000000000002,4.763213259346743,35.708573481306516,59.524639778040225,311998132,0.09,37.599999999991276,2.361270845313946,11,0.14,3.673087981599472,1
